###############################################################################
# EEPROM Parameters
###############################################################################
Serial_Number_EEPROM                     , 0x0113, uint, dec, 16, 6, spr, spr, spr
Motor_Type_EEPROM                        , 0x0119, uint, dec, 16, 0, spr, spr, spr
Veh_Flux_EEPROM_(Wb)_x_1000              , 0x0100, uint, dec, 16, 0, spr, spr, spr
Angle_Advance_Factor_EEPROM_x_100        , 0x0149, int, dec, 16, 0, spr, spr, spr
Gamma_Adjust_EEPROM_(Deg)_x_10           , 0x011A, int, dec, 16, 0, spr, spr, spr
Resolver_PWM_Delay_EEPROM_(Counts)       , 0x0118, uint, dec, 16, 0, spr, spr, spr

Run_Mode_EEPROM(Trq=0_Spd=1)             , 0x0116, uint, dec, 16, 1, spr, spr, spr
Inv_Cmd_Mode_EEPROM(CAN=0_VSM=1)         , 0x011B, uint, dec, 16, 1, spr, spr, spr
Key_Switch_Mode_EEPROM                   , 0x012B, uint, dec, 16, 1, spr, spr, spr
Precharge_Bypassed_EEPROM_(0=N_1=Y)      , 0x0115, uint, dec, 16, 1, spr, spr, spr
Relay_Output_State_EEPROM_(0=OFF_1=ON)   , 0x012C, uint, hex, 16, 1, spr, spr, spr
Discharge_Enable_EEPROM                  , 0x016D, uint, dec, 16, 1, spr, spr, spr

CAN_ID_Offset_EEPROM                     , 0x011D, uint, hex, 16, 8, spr, spr, spr
CAN_Extended_Msg_ID_EEPROM(0=N_1=Y)      , 0x0131, uint, dec, 16, 8, spr, spr, spr
CAN_J1939_Option_Active_EEPROM           , 0x0132, uint, dec, 16, 8, spr, spr, spr
CAN_OBD2_Enable_EEPROM                   , 0x0152, uint, dec, 16, 8, spr, spr, spr
CAN_BMS_Limit_Enable_EEPROM              , 0x017F, uint, dec, 16, 8, spr, spr, spr
CAN_Command_Message_Active_EEPROM        , 0x011F, uint, dec, 16, 8, spr, spr, spr
CAN_Bit_Rate_EEPROM_(kbps)               , 0x0120, uint, dec, 16, 8, spr, spr, spr
CAN_ACTIVE_MSGS_EEPROM_(Lo_Word)         , 0x0129, uint, hex, 16, 8, spr, spr, spr
CAN_ACTIVE_MSGS_EEPROM_(Hi_Word)         , 0x012A, uint, hex, 16, 8, spr, spr, spr
CAN_Fast_Msg_Rate_EEPROM_(ms)            , 0x0180, uint, dec, 16, 8, spr, spr, spr
CAN_Slow_Msg_Rate_EEPROM_(ms)            , 0x0181, uint, dec, 16, 8, spr, spr, spr
CAN_Diag_Data_Tx_Active_EEPROM           , 0x0160, uint, dec, 16, 8, spr, spr, spr
CAN_Inv_Enab_Switch_Active_EEPROM        , 0x0170, uint, dec, 16, 8, spr, spr, spr
CAN_TimeOut_(/3ms)_EEPROM                , 0x016F, uint, dec, 16, 8, spr, spr, spr
CAN_Slave_Cmd_ID_EEPROM                  , 0x0177, uint, hex, 16, 8, spr, spr, spr
