effective_sensor_current,adc_voltage_400a_v,adc_voltage_50a_v
0.0,1.664102554321289,1.666520118713379
10.0,1.6874724626541138,1.835750937461853
20.0,1.7156776189804077,2.004981517791748
30.0,1.739047646522522,2.177435874938965
40.0,1.7656409740447998,2.3474724292755127
50.0,1.7906227111816406,2.5199265480041504
60.0,1.8164101839065552,2.689157485961914
70.0,1.841391921043396,2.862417459487915
80.0,1.8671795129776,3.0332601070404053
90.0,1.891355276107788,3.097728967666626
100.0,1.9171427488327026,3.0969228744506836
