ID,DLC,Timestamp,Data_0,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7
502,1,20,0,30,1,36,4,0,0,0
415,1,21,0,30,1,36,236,202,0,36
300,1,21,0,30,1,36,236,202,0,36
302,5,21,41,147,143,0,1,202,0,36
303,2,22,0,0,143,0,4,0,0,0
304,3,22,0,0,0,0,4,0,0,0
306,4,22,0,0,0,0,4,0,0,0
307,4,23,0,0,0,0,236,202,0,36
308,4,23,0,0,0,0,4,0,0,0
309,1,23,0,0,0,0,4,0,0,0
397,1,24,0,0,0,0,4,0,0,0
399,2,24,0,0,0,0,4,0,0,0
305,5,24,0,0,0,0,0,0,0,0
301,3,24,0,0,0,0,0,0,0,0
396,3,25,0,239,3,0,4,0,0,0
398,8,25,0,0,0,73,130,36,9,0
416,7,26,0,0,0,0,0,0,0,0
417,4,26,0,0,0,0,0,0,0,0
418,4,26,0,0,0,0,0,0,0,0
419,5,27,41,147,143,0,1,202,0,36
420,1,27,0,147,143,0,1,202,0,36
491,1,28,0,147,143,0,4,0,0,0
493,2,28,0,0,143,0,4,0,0,0
414,3,28,0,0,0,0,4,0,0,0
490,3,28,0,135,1,0,4,0,0,0
492,7,28,0,0,0,73,0,0,0,0
503,1,29,0,0,0,73,4,0,0,0
305,5,29,0,0,0,0,0,0,0,0
504,1,29,0,0,0,0,4,0,0,0
506,5,29,41,147,143,0,1,0,0,0
507,1,29,0,147,143,0,1,0,0,0
501,1,29,0,147,143,0,4,0,0,0
551,2,29,0,0,143,0,4,0,0,0
505,3,30,0,0,0,0,4,0,0,0
500,1,30,0,0,0,0,4,0,0,0
550,3,30,0,0,0,0,4,0,0,0
305,5,39,0,0,0,0,0,202,0,36
305,5,49,0,0,0,0,0,202,0,36
305,5,59,0,0,0,0,0,202,0,36
305,5,69,0,0,0,0,0,202,0,36
305,5,79,0,0,0,0,0,202,0,36
305,5,89,0,0,0,0,0,202,0,36
111,1,89,49,0,0,0,4,0,0,0
112,1,89,0,0,0,0,4,0,0,0
104,5,89,0,0,0,0,0,0,0,0
105,4,89,2,2,0,0,4,0,0,0
106,8,90,0,0,0,0,0,0,0,0
110,1,90,0,0,0,0,0,0,0,0
144,3,90,1,0,1,0,0,0,0,0
150,1,91,0,0,1,0,236,202,0,36
152,3,91,0,0,0,0,4,0,0,0
111,1,97,49,0,0,0,236,202,0,36
112,1,97,0,0,0,0,4,0,0,0
305,5,99,0,0,0,0,0,202,0,36
111,1,107,49,0,0,0,236,202,0,36
112,1,107,0,0,0,0,4,0,0,0
305,5,109,0,0,0,0,0,202,0,36
111,1,117,49,0,0,0,236,202,0,36
112,1,117,0,0,0,0,4,0,0,0
502,1,118,1,0,0,0,4,0,0,0
503,1,118,0,0,0,0,4,0,0,0
504,1,118,6,0,0,0,4,0,0,0
506,5,118,41,147,143,0,1,0,0,0
507,1,118,0,147,143,0,4,0,0,0
415,1,119,1,147,143,0,236,202,0,36
416,7,119,0,0,0,0,0,0,0,0
300,1,119,1,0,0,0,0,0,0,0
302,5,119,41,147,143,0,1,0,0,0
303,2,119,89,4,143,0,1,0,0,0
304,3,119,0,0,0,0,4,0,0,0
306,4,120,7,0,0,0,4,0,0,0
307,4,120,0,0,0,0,249,130,3,8
308,4,120,0,0,0,0,4,0,0,0
309,1,120,0,0,0,0,4,0,0,0
397,1,121,0,0,0,0,236,202,0,36
399,2,121,0,0,0,0,4,0,0,0
305,5,121,0,0,0,0,0,0,0,0
417,4,121,0,0,0,0,4,0,0,0
418,4,122,0,0,0,0,4,0,0,0
419,5,122,41,147,143,0,1,0,0,0
420,1,122,0,147,143,0,4,0,0,0
491,1,122,0,147,143,0,4,0,0,0
493,2,122,0,0,143,0,4,0,0,0
501,1,122,0,0,143,0,4,0,0,0
551,2,122,0,0,143,0,4,0,0,0
111,1,127,49,0,143,0,236,202,0,36
112,1,127,0,0,143,0,4,0,0,0
305,5,129,0,0,0,0,0,202,0,36
111,1,137,49,0,0,0,236,202,0,36
112,1,137,0,0,0,0,4,0,0,0
305,5,139,0,0,0,0,0,202,0,36
111,1,147,49,0,0,0,236,202,0,36
112,1,147,0,0,0,0,4,0,0,0
305,5,149,0,0,0,0,0,202,0,36
111,1,157,49,0,0,0,236,202,0,36
112,1,157,0,0,0,0,4,0,0,0
305,5,159,0,0,0,0,0,202,0,36
111,1,167,49,0,0,0,236,202,0,36
112,1,167,0,0,0,0,4,0,0,0
305,5,169,0,0,0,0,0,202,0,36
111,1,177,49,0,0,0,236,202,0,36
112,1,177,0,0,0,0,4,0,0,0
305,5,179,0,0,0,0,0,202,0,36
100,1,185,1,0,0,0,236,202,0,36
120,5,185,0,0,0,0,0,0,0,0
121,4,186,0,0,0,0,4,0,0,0
122,2,186,244,1,0,0,4,0,0,0
123,4,186,0,0,0,0,4,0,0,0
130,8,187,167,66,0,48,245,159,134,1
131,3,187,0,0,0,48,4,0,0,0
132,3,187,224,230,11,48,4,0,0,0
133,8,188,232,163,143,62,250,232,163,15
140,5,188,129,28,201,14,1,0,0,0
141,6,188,0,0,0,0,0,0,0,0
142,4,188,0,0,0,0,4,0,0,0
143,1,188,0,0,0,0,4,0,0,0
151,3,189,40,8,0,0,4,0,0,0
305,5,189,0,0,0,0,0,0,0,0
153,8,189,0,130,0,0,2,0,0,0
111,1,189,49,130,0,0,4,0,0,0
112,1,189,0,130,0,0,4,0,0,0
111,1,197,49,130,0,0,236,202,0,36
112,1,197,0,130,0,0,4,0,0,0
305,5,199,0,0,0,0,0,202,0,36
111,1,207,49,0,0,0,236,202,0,36
112,1,207,0,0,0,0,4,0,0,0
305,5,209,0,0,0,0,0,202,0,36
111,1,217,49,0,0,0,236,202,0,36
112,1,217,0,0,0,0,4,0,0,0
502,1,218,1,0,0,0,4,0,0,0
503,1,218,0,0,0,0,4,0,0,0
504,1,218,6,0,0,0,4,0,0,0
506,5,218,41,147,143,0,1,0,0,0
507,1,218,0,147,143,0,1,0,0,0
415,1,219,1,147,143,0,236,202,0,36
416,7,219,0,0,0,0,0,0,0,0
300,1,219,1,0,0,0,0,0,0,0
302,5,219,41,147,143,0,1,0,0,0
303,2,219,89,4,143,0,1,0,0,0
304,3,219,0,0,0,0,4,0,0,0
306,4,220,7,0,0,0,4,0,0,0
307,4,220,0,0,0,0,4,0,0,0
308,4,220,0,0,0,0,4,0,0,0
309,1,220,0,0,0,0,4,0,0,0
397,1,221,0,0,0,0,236,202,0,36
399,2,221,0,0,0,0,4,0,0,0
305,5,221,0,0,0,0,0,0,0,0
417,4,221,0,0,0,0,4,0,0,0
418,4,222,0,0,0,0,4,0,0,0
419,5,222,41,147,143,0,1,0,0,0
420,1,222,0,147,143,0,4,0,0,0
491,1,222,0,147,143,0,4,0,0,0
493,2,222,0,0,143,0,4,0,0,0
501,1,222,0,0,143,0,4,0,0,0
551,2,222,0,0,143,0,4,0,0,0
111,1,227,49,0,143,0,236,202,0,36
112,1,227,0,0,143,0,4,0,0,0
305,5,229,0,0,0,0,0,202,0,36
111,1,237,49,0,0,0,236,202,0,36
112,1,237,0,0,0,0,4,0,0,0
305,5,239,0,0,0,0,0,202,0,36
111,1,247,49,0,0,0,236,202,0,36
112,1,247,0,0,0,0,4,0,0,0
305,5,249,0,0,0,0,0,202,0,36
111,1,257,49,0,0,0,236,202,0,36
112,1,257,0,0,0,0,4,0,0,0
305,5,259,0,0,0,0,0,202,0,36
111,1,267,49,0,0,0,236,202,0,36
112,1,267,0,0,0,0,4,0,0,0
305,5,269,0,0,0,0,0,202,0,36
111,1,277,49,0,0,0,236,202,0,36
112,1,277,0,0,0,0,4,0,0,0
305,5,279,0,0,0,0,0,202,0,36
100,1,285,1,0,0,0,236,202,0,36
120,5,285,0,0,0,0,0,0,0,0
121,4,286,0,0,0,0,4,0,0,0
122,2,286,244,1,0,0,4,0,0,0
123,4,286,0,0,0,0,4,0,0,0
130,8,287,145,28,0,48,245,159,134,1
131,3,287,0,0,0,48,4,0,0,0
132,3,287,224,230,11,48,4,0,0,0
133,8,288,232,163,143,62,250,232,163,15
140,5,288,129,28,201,14,1,0,0,0
141,6,288,0,0,0,0,0,0,0,0
142,4,288,0,0,0,0,4,0,0,0
143,1,288,0,0,0,0,4,0,0,0
151,3,289,40,8,0,0,0,0,0,0
305,5,289,0,0,0,0,0,202,0,36
