date_time,Signal1,Signal2,Signal3,Signal4,Signal5
2023-09-14 08:00:00,1.1701,0.5586,-0.5950,0.3102,1.2345
2023-09-14 12:00:00,1.2751,0.6785,-0.5802,0.3251,1.2978
2023-09-14 16:00:00,1.2387,0.6532,-0.5723,0.3205,1.2890
2023-09-14 20:00:00,1.2590,0.6654,-0.5871,0.3189,1.2912
2023-09-15 08:00:00,1.2728,0.6857,-0.5698,0.3223,1.2887
2023-09-15 12:00:00,1.2589,0.6734,-0.5632,0.3246,1.2765
2023-09-15 16:00:00,1.2705,0.6800,-0.5574,0.3278,1.2790
2023-09-15 20:00:00,1.2634,0.6765,-0.5612,0.3289,1.2834
2023-09-16 08:00:00,1.2789,0.6890,-0.5656,0.3300,1.2901
2023-09-16 12:00:00,1.2718,0.6846,-0.5693,0.3312,1.2873
2023-09-16 16:00:00,1.2695,0.6823,-0.5710,0.3324,1.2859
2023-09-16 20:00:00,1.2732,0.6850,-0.5687,0.3335,1.2886
2023-09-17 08:00:00,1.2746,0.6864,-0.5672,0.3347,1.2872
2023-09-17 12:00:00,1.2759,0.6877,-0.5658,0.3358,1.2885
2023-09-17 16:00:00,1.2773,0.6891,-0.5644,0.3369,1.2899
2023-09-17 20:00:00,1.2786,0.6904,-0.5630,0.3380,1.2912
