date_time,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
2023-09-14 08:00:00,1.1701,0.5586,-0.5950,0.3102,1.2345,0.4501,0.9800
2023-09-14 09:00:00,1.1800,0.5700,-0.5920,0.3120,1.2400,0.4520,0.9810
2023-09-14 10:00:00,1.2000,0.6000,-0.5900,0.3150,1.2500,0.4550,0.9825
2023-09-14 11:00:00,1.2100,0.6100,-0.5880,0.3170,1.2550,0.4570,0.9830
2023-09-14 12:00:00,1.2751,0.6785,-0.5802,0.3251,1.2978,0.4602,0.9850
2023-09-14 13:00:00,1.2650,0.6700,-0.5780,0.3230,1.2930,0.4590,0.9845
2023-09-14 14:00:00,1.2600,0.6600,-0.5750,0.3200,1.2900,0.4580,0.9835
2023-09-14 15:00:00,1.2550,0.6550,-0.5730,0.3190,1.2880,0.4570,0.9830
2023-09-14 16:00:00,1.2387,0.6532,-0.5723,0.3205,1.2890,0.4553,0.9825
2023-09-14 17:00:00,1.2450,0.6580,-0.5740,0.3195,1.2905,0.4560,0.9830
2023-09-14 18:00:00,1.2500,0.6600,-0.5800,0.3180,1.2920,0.4565,0.9830
2023-09-14 19:00:00,1.2550,0.6630,-0.5850,0.3185,1.2915,0.4570,0.9835
2023-09-14 20:00:00,1.2590,0.6654,-0.5871,0.3189,1.2912,0.4574,0.9840
2023-09-14 21:00:00,1.2630,0.6680,-0.5860,0.3190,1.2920,0.4580,0.9845
2023-09-14 22:00:00,1.2670,0.6700,-0.5850,0.3195,1.2930,0.4585,0.9850
2023-09-15 08:00:00,1.2728,0.6857,-0.5698,0.3223,1.2887,0.4595,0.9865
2023-09-15 09:00:00,1.2650,0.6800,-0.5650,0.3210,1.2850,0.4580,0.9850
2023-09-15 10:00:00,1.2750,0.6900,-0.5600,0.3230,1.2900,0.4600,0.9870
2023-09-15 11:00:00,1.2680,0.6840,-0.5625,0.3220,1.2870,0.4590,0.9860
2023-09-15 12:00:00,1.2589,0.6734,-0.5632,0.3246,1.2765,0.4616,0.9890
2023-09-15 13:00:00,1.2630,0.6770,-0.5610,0.3250,1.2800,0.4620,0.9900
2023-09-15 14:00:00,1.2670,0.6790,-0.5590,0.3260,1.2830,0.4630,0.9910
2023-09-15 15:00:00,1.2690,0.6810,-0.5580,0.3270,1.2840,0.4640,0.9920
2023-09-15 16:00:00,1.2705,0.6800,-0.5574,0.3278,1.2790,0.4637,0.9915
2023-09-15 17:00:00,1.2720,0.6820,-0.5560,0.3280,1.2800,0.4640,0.9920
